CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Child_Age,Indicator,Value
2023-24,E12000002,North West,E06000009,Blackpool,24m,DTaP_IPV_Hib_HepB_24m,1558.0
2023-24,E12000002,North West,E06000009,Blackpool,24m,Hib_MenC_24m,1509.0
2023-24,E12000002,North West,E06000009,Blackpool,24m,MMR_24m,1514.0
2023-24,E12000002,North West,E06000009,Blackpool,24m,MenB_booster_24m,1478.0
2023-24,E12000002,North West,E06000009,Blackpool,24m,PCV_24m,1490.0
2023-24,E12000002,North West,E06000009,Blackpool,5yr,5y_Eligible_Pop,1860.0
2023-24,E12000002,North West,E06000009,Blackpool,5yr,DTaP_IPV_5y,1568.0
2023-24,E12000002,North West,E06000009,Blackpool,5yr,DTaP_IPV_Hib_HepB_5y,1747.0
2023-24,E12000002,North West,E06000009,Blackpool,5yr,Hib_MenC_5y,1710.0
2023-24,E12000002,North West,E06000009,Blackpool,5yr,MMR1_5y,1740.0
2023-24,E12000002,North West,E06000009,Blackpool,5yr,MMR2_5y,1604.0
2023-24,E12000002,North West,E08000001,Bolton,12m,12m_Eligible_Pop,3719.0
2023-24,E12000002,North West,E08000001,Bolton,12m,DTaP_IPV_Hib_HepB_12m,3363.0
2023-24,E12000002,North West,E08000001,Bolton,12m,MenB_12m,3344.0
2023-24,E12000002,North West,E08000001,Bolton,12m,PCV_12m,3458.0
2023-24,E12000002,North West,E08000001,Bolton,12m,Rota_12m,3114.0
2023-24,E12000002,North West,E08000001,Bolton,24m,24m_Eligible_Pop,3789.0
2023-24,E12000002,North West,E08000001,Bolton,24m,DTaP_IPV_Hib_HepB_24m,3538.0
2023-24,E12000002,North West,E08000001,Bolton,24m,Hib_MenC_24m,3400.0
2023-24,E12000002,North West,E08000001,Bolton,24m,MMR_24m,3433.0
2023-24,E12000002,North West,E08000001,Bolton,24m,MenB_booster_24m,3344.0
2023-24,E12000002,North West,E08000001,Bolton,24m,PCV_24m,3363.0
2023-24,E12000002,North West,E08000001,Bolton,5yr,5y_Eligible_Pop,4065.0
2023-24,E12000002,North West,E08000001,Bolton,5yr,DTaP_IPV_5y,3410.0
2023-24,E12000002,North West,E08000001,Bolton,5yr,DTaP_IPV_Hib_HepB_5y,3840.0
